District,Route,County,Postmile,Description,Back_Peak_Hour,Back_Peak_Month,Back_AADT,Ahead_Peak_Hour,Ahead_Peak_Month,Ahead_AADT
4,101 ,MRN, 18.009 ,IGNACIO BLVD INTERCHANGE,11300,144000,139000,11900,151000,146000
4,101 ,MRN, 15.57 ,MILLER CREEK RD INTERCHANGE,12300,156000,151000,12200,155000,150000
2,5 ,SIS,R38.207 ,GRENADA,2150,19000,15100,2200,21100,16600
4,1 ,MRN, 1.31 ,PINE ST,1700,17300,16300,1400,14400,13600
4,101 ,MRN, 16.641 ,HAMILTON FIELD RD INTERCHANGE,12200,155000,150000,11300,144000,139000
4,101 ,MRN, 12.694 ,SAN PEDRO RD INTERCHANGE,14600,186000,180000,13600,173000,167000
3,162 ,GLE,R45.117 ,COUNTY RD 306 (TO ELK CREEK),40,400,370,90,800,700
2,3 ,SIS, 53.22 ,"MONTAGUE, GRENADA RD",400,3250,2800,310,3050,2750
4,101 ,MRN, 12.19 ,"SAN RAFAEL, LINCOLN/ VILLA AVES INTERCHANGE",13800,179000,173000,14600,186000,180000
3,162 ,GLE, 41.379 ,"COUNTY RD (TO NEWVILLE) Y, AT COUNTY RD 307",20,250,200,40,400,370
4,29 ,NAP, 33.47 ,LARKMEAD LANE,1150,14500,13600,1150,14400,13500
3,162 ,GLE, 45.382 ,COUNTY RD 304 (TO STONY GORGE RESERVOIR),90,800,700,120,830,800
4,116 ,SON, 41.81 ,ADOBE RD,290,3350,3200,1500,17300,16800
4,1 ,MRN, 0.65 ,"TAMALPAIS JUNCTION, ALMONTE BLVD",2550,32000,30500,1400,17900,17100
4,101 ,MRN, 11.25 ,"SAN RAFAEL, MISSION AVE CONNECTION",10000,133000,129000,13800,179000,173000
